Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Esha Shroff Shah | Foodholic™,foodholic.mumbai,5.62,104.4k,146,1.9k,0.15%,Mumbai,Food and Drink
Suprava,pinkeypreet,7.89,104.2k,4k,62.4k,4.14%,Bengaluru,Lifestyle and Fashion
Gurkeerat Mann,gurkeeratmann,7.68,104.1k,2k,21.8k,1.89%,Mohali,Sports
Shrima Rai,shrimarai,7.16,104.1k,611,6.9k,0.70%,Mangalore,Family and Parenting
???? G????????????,rocking_vedaant,7.76,103.9k,2.7k,35.5k,2.73%,Karnal,Family and Parenting
Aishwarya Sharma,sassyaish,7.6,103.8k,1k,8.6k,0.99%,Mumbai,Lifestyle and Fashion
?hê ?ù?-?ù? Mã? ??,thekurkurman,7.71,103.8k,2.3k,29.6k,2.23%,Bengaluru,Travel
Raj,lucky_amourer,8.51,103.7k,15.8k,0,15.28%,Delhi,Travel
Pujneet,bhookasaand,7.6,103.6k,1k,10.5k,1.06%,New Delhi,Food and Drink
Sammrat Chaudhary,sammrat_choudhary,6.31,103.6k,310,3.8k,0.31%,India,Health and Fitness
Niharika Vashisht,niharika.vashisht,7.97,103.6k,5.1k,568k,5.02%,India,Lifestyle and Fashion
Uttar Pradesh Tourism,uttarpradeshtourism,6.88,103.4k,549,3.1k,0.53%,India,Travel
Manali Tiwari,mommywood_india,6.22,103.3k,232,3.5k,0.28%,Cuttack,Family and Parenting
Sandhya,pinkpebble,4.16,103.2k,0,5.1k,0.04%,Bengaluru,Travel
Ishika N Garima,mommylilworld,7.76,103k,2.8k,33.9k,2.82%,Bengaluru,Family and Parenting
Foodhall,foodhallindia,5.16,103k,97,1.6k,0.10%,India,Food and Drink
ASICS India,asicsindia,7.63,102.8k,1.4k,8.9k,1.38%,India,Sports
Mitali Jakatdar,supermom_mitali,7.62,102.7k,1.2k,16.4k,1.26%,Mumbai,Family and Parenting
Shona & Pradeep,sonpapdi_official,7.62,102.7k,1.2k,8.5k,1.22%,Delhi,Travel
MaulanaWahidudinKhan,maulanawahiduddinkhan,7.31,102.7k,818,2.6k,0.80%,New Delhi,Others
Aagam Shah,trendinginahmedabad,6.88,102.6k,552,6.1k,0.54%,Ahmedabad,Food and Drink
Rakesh Kiran Pulapa,rakesh.pulapa,7.82,102.6k,3.5k,8.2k,3.45%,Andhra Pradesh,Photography
